month,SFund,IFund
Feb-2007,121464.73,132372.85
Mar-2007,124094.44,137099.7
Apr-2007,128533.3,143594.88
May-2007,135537.27,148566.67
Jun-2007,134735.46,150158.06
Jul-2007,129810.69,147830.08
Aug-2007,132911.57,148062.98
Sep-2007,138189.08,157360.06
Oct-2007,143428.05,165775.2
Nov-2007,136543.06,160851.98
Dec-2007,137283.39,158495.42
Jan-2008,129886.4,146173.23
Feb-2008,128488.92,146491.63
Mar-2008,127924.73,148049.31
Apr-2008,136064.87,157629.4
May-2008,144059.54,160653.31
Jun-2008,134260.91,148746.47
Jul-2008,134481.72,144456.72
Aug-2008,138719.67,139685.25
Sep-2008,125562.17,123622.67
Oct-2008,100227.22,99194.47
Nov-2008,90219.84,93733.47
Dec-2008,95794.24,102304.07
Jan-2009,89211.08,91310.16
Feb-2009,81328.18,83203.47
Mar-2009,89848.74,90668.12
Apr-2009,104907.3,103207.95
May-2009,110501.71,118607.52
Jun-2009,112693.41,118686.71
Jul-2009,123946.73,131755.72
Aug-2009,130146.62,139614.18
Sep-2009,139334.0,146332.67
Oct-2009,132955.94,144147.92
Nov-2009,139502.68,150121.44
Dec-2009,150133.34,153662.84
Jan-2010,147826.69,147022.39
Feb-2010,156497.65,148486.42
Mar-2010,169539.44,159272.72
Apr-2010,179152.52,156872.5
May-2010,166969.9,140523.78
Jun-2010,156729.1,139415.55
Jul-2010,169171.39,155967.77
Aug-2010,161012.85,152402.21
Sep-2010,181013.73,168862.75
Oct-2010,190559.75,176417.38
Nov-2010,197692.79,169187.23
Dec-2010,213758.99,184411.89
Jan-2011,217780.14,190264.35
Feb-2011,229060.95,198020.94
Mar-2011,235182.93,194949.41
Apr-2011,243512.74,208162.77
May-2011,241777.66,203461.18
Jun-2011,237438.58,202460.08
Jul-2011,231314.83,200573.72
Aug-2011,213795.41,183712.75
Sep-2011,192082.63,165560.99
Oct-2011,220715.81,182761.52
Nov-2011,220958.15,179606.76
Dec-2011,222244.21,177307.83
Jan-2012,240636.74,188304.14
Feb-2012,251711.35,199472.46
Mar-2012,258949.96,201150.28
Apr-2012,258518.03,198778.95
May-2012,241973.21,177373.32
Jun-2012,251300.05,191448.32
Jul-2012,251149.88,193945.04
Aug-2012,261583.17,201789.11
Sep-2012,269601.14,209220.67
Oct-2012,267467.47,212427.75
Nov-2012,272998.07,218998.07
Dec-2012,281796.5,229275.42
Jan-2013,302969.36,241001.4
Feb-2013,307471.97,240059.38
Mar-2013,323419.13,243643.06
Apr-2013,326989.17,258140.79
May-2013,337348.42,251499.62
Jun-2013,335452.57,245951.02
Jul-2013,360090.37,260497.3
Aug-2013,351569.95,258524.02
Sep-2013,373821.65,279247.04
Oct-2013,386313.21,290193.21
Nov-2013,397427.05,293838.92
Dec-2013,410612.61,299756.24
Jan-2014,404200.39,289075.63
Feb-2014,427685.98,306745.75
Mar-2014,426183.22,306447.32
Apr-2014,417078.8,312555.02
May-2014,424898.9,319414.38
Jun-2014,445330.12,324049.35
Jul-2014,427219.12,319160.28
Aug-2014,450025.59,320169.75
Sep-2014,428458.24,309341.88
Oct-2014,447586.14,308842.17
Nov-2014,455016.76,311883.04
Dec-2014,460994.19,300400.37
Jan-2015,453938.05,305492.98
Feb-2015,482992.05,325320.46
Mar-2015,490499.75,322146.93
Apr-2015,484619.76,336948.82
May-2015,495064.36,337027.33
Jun-2015,493038.75,329048.57
Jul-2015,493945.31,337423.98
Aug-2015,466709.48,313979.17
Sep-2015,445735.42,299642.12
Oct-2015,472325.33,322432.87
Nov-2015,482117.27,321147.04
Dec-2015,464707.84,316097.31
Jan-2016,425554.52,299748.34
Feb-2016,429189.79,292753.14
Mar-2016,466178.63,313644.42
Apr-2016,475769.47,321100.65
May-2016,485908.04,323471.67
Jun-2016,486774.41,314150.11
Jul-2016,514641.23,331653.57
Aug-2016,520270.36,333420.1
Sep-2016,526466.3,339073.11
Oct-2016,507586.8,333659.47
Nov-2016,549559.2,328489.8
Dec-2016,561033.37,341341.45
Jan-2017,574684.09,352749.57
Feb-2017,590300.6,359350.76
Mar-2017,591327.16,371135.01
Apr-2017,599644.67,382398.04
May-2017,596515.86,398332.61
Jun-2017,611949.63,399112.91
Jul-2017,620258.92,412150.56
Aug-2017,619209.71,413526.47
Sep-2017,647151.94,425485.13
Oct-2017,657797.93,433560.71
Nov-2017,678417.57,439672.35
Dec-2017,683113.18,448231.11
Jan-2018,707522.33,472261.42
Feb-2018,682190.47,449781.27
Mar-2018,688449.89,447892.88
Apr-2018,691923.54,458468.19
May-2018,727098.27,450211.65
Jun-2018,734906.25,446332.28
Jul-2018,748525.66,458846.86
Aug-2018,784345.41,451595.11
Sep-2018,772055.47,457260.33
Oct-2018,695773.26,422373.12
Nov-2018,710703.38,423363.7
Dec-2018,636034.83,404424.93
Jan-2019,711790.4,432760.39
Feb-2019,748856.01,445376.77
Mar-2019,742668.59,450091.56
Apr-2019,771671.61,464820.92
May-2019,719165.68,444490.18
Jun-2019,769715.44,472526.14
Jul-2019,783905.73,464159.8
Aug-2019,752537.16,457458.55
Sep-2019,762072.06,472173.53
Oct-2019,778351.48,490768.94
Nov-2019,815300.29,497972.19
Dec-2019,834404.07,515698.11
Jan-2020,830845.69,503200.19
Feb-2020,765798.11,465772.41
Mar-2020,603167.7,402549.76
Apr-2020,700429.78,430128.44
May-2020,763752.76,451176.3
Jun-2020,795992.11,468380.38
Jul-2020,843152.27,480956.04
